# Title: HaGeZi's Personal DNS Blocklist
# Description: Blockable hosts that I found during DNS monitoring. Ads, Tracking, Badware and more. Manually maintained.
# License: https://choosealicense.com/licenses/unlicense/
# Homepage: https://github.com/hagezi/dns-blocklists
# Issues: https://github.com/hagezi/dns-blocklists/issues
# Expires: Updated regularly
# Last modified: 24 Aug 2022 18:40 UTC
# Version: 2022.0824.1840.37
# Syntax: Hosts
# Domains: 254
#
0.0.0.0 53244ds.xyz
0.0.0.0 www.53244ds.xyz
0.0.0.0 7e1e8f3eba.com
0.0.0.0 29dddc2119.7e1e8f3eba.com
0.0.0.0 997ad.xyz
0.0.0.0 api.997ad.xyz
0.0.0.0 www.997ad.xyz
0.0.0.0 ad-cdn.name
0.0.0.0 www.ad-cdn.name
0.0.0.0 adnxs-simple.com
0.0.0.0 ads4trk.com
0.0.0.0 vrmom.ads4trk.com
0.0.0.0 www.ads4trk.com
0.0.0.0 adsymptotic.com
0.0.0.0 aff-tracker.com
0.0.0.0 track.adformnet.akadns.net
0.0.0.0 aloofvest.com
0.0.0.0 cmp-tracking-service-1636672816.eu-central-1.elb.amazonaws.com
0.0.0.0 prod-ew1-telemetry-bucket.s3.eu-west-1.amazonaws.com
0.0.0.0 prod-ew1-telemetry-cs-bucket.s3.eu-west-1.amazonaws.com
0.0.0.0 amp.analytics-debugger.com
0.0.0.0 app-measurement.com
0.0.0.0 region1.app-measurement.com
0.0.0.0 supportmetrics.apple.com
0.0.0.0 track.applicaster.com
0.0.0.0 serverside-tracking.ew.r.appspot.com
0.0.0.0 adv-cloudfilse.azureedge.net
0.0.0.0 cdnnwlive.azureedge.net
0.0.0.0 fp-cdn.azureedge.net
0.0.0.0 nlo-stl-web.azureedge.net
0.0.0.0 pestcontrol-uc1.azureedge.net
0.0.0.0 sdtagging.azureedge.net
0.0.0.0 app-fnsp-matomo-analytics-prod.azurewebsites.net
0.0.0.0 live-tfs-omnilytics.azurewebsites.net
0.0.0.0 analytics.bestofluck.io
0.0.0.0 analytics.bfops.io
0.0.0.0 photos1.blogger.com
0.0.0.0 analytics.bomiv.com
0.0.0.0 borrelioseweb.de
0.0.0.0 www.borrelioseweb.de
0.0.0.0 cdn.braze.eu
0.0.0.0 metrics.brightcove.com
0.0.0.0 pixel.bsmartdata.com
0.0.0.0 notify.bugsnag.com
0.0.0.0 sessions.bugsnag.com
0.0.0.0 track.capitaloneshopping.com
0.0.0.0 childlikeform.com
0.0.0.0 amp-analytics.chip.de
0.0.0.0 clarity.ms
0.0.0.0 www.clarity.ms
0.0.0.0 production.cleverpush.com
0.0.0.0 vsanalytics.visualsoft.co.uk
0.0.0.0 event-tracking-services.global.commerce-connector.com
0.0.0.0 metrics.cottonbird.de
0.0.0.0 firebase-settings.crashlytics.com
0.0.0.0 trx.dgtrk2.com
0.0.0.0 smetrics.dhl.de
0.0.0.0 googleads.g.doubleclick.net
0.0.0.0 googleads4.g.doubleclick.net
0.0.0.0 pubads.g.doubleclick.net
0.0.0.0 securepubads.g.doubleclick.net
0.0.0.0 stats.g.doubleclick.net
0.0.0.0 static.doubleclick.net
0.0.0.0 sadobemetrics.dr.dk
0.0.0.0 webanalytics.drk-blutspende.de
0.0.0.0 ei8ihtrk.com
0.0.0.0 www.ei8ihtrk.com
0.0.0.0 ejectbagsindefinite.com
0.0.0.0 www.ejectbagsindefinite.com
0.0.0.0 analytics.el-pato.de
0.0.0.0 analytics-ingestion-prod.x8um6iuan5.eu-central-1.elasticbeanstalk.com
0.0.0.0 mobile-events.eservice.emarsys.net
0.0.0.0 epagogerepines.com
0.0.0.0 trackers.peerius.episerver.networking
0.0.0.0 tracking.ernstings-family.de
0.0.0.0 sanalytics.express.de
0.0.0.0 metrics.fitanalytics.com
0.0.0.0 metrics-nl.fitanalytics.com
0.0.0.0 metrics-sandbox-orig.fitanalytics.com
0.0.0.0 floweryflavor.com
0.0.0.0 tracker.remp-beam.golem.de
0.0.0.0 region1.analytics.google.com
0.0.0.0 pagead-googlehosted.l.google.com
0.0.0.0 www-google-analytics.l.google.com
0.0.0.0 region1.google-analytics.com
0.0.0.0 ssl.google-analytics.com
0.0.0.0 pagead2.googleadservices.com
0.0.0.0 androidtvchannels-pa.googleapis.com
0.0.0.0 googleoptimize.com
0.0.0.0 www.googleoptimize.com
0.0.0.0 googlesyndication.com
0.0.0.0 ade.googlesyndication.com
0.0.0.0 pagead2.googlesyndication.com
0.0.0.0 safeframe.googlesyndication.com
0.0.0.0 tpc.googlesyndication.com
0.0.0.0 gotrackier.com
0.0.0.0 mmads.gotrackier.com
0.0.0.0 www.gotrackier.com
0.0.0.0 svc-2-analytics-usf.hotyon.com
0.0.0.0 hpanalytics.net
0.0.0.0 downloads.hpanalytics.net
0.0.0.0 hutters.click
0.0.0.0 www.hutters.click
0.0.0.0 metrics.icloud.com
0.0.0.0 analytics.idfnet.net
0.0.0.0 tracker.ihk-muenchen.de
0.0.0.0 instabug.com
0.0.0.0 api.instabug.com
0.0.0.0 api-apm.instabug.com
0.0.0.0 www.instabug.com
0.0.0.0 irqs.ioam.de
0.0.0.0 isthereanythingleft.com
0.0.0.0 www.isthereanythingleft.com
0.0.0.0 jadeepso.net
0.0.0.0 tracking.kadewe.de
0.0.0.0 kameleoon.eu
0.0.0.0 www.kameleoon.eu
0.0.0.0 kirchenaustritt24.de
0.0.0.0 www.kirchenaustritt24.de
0.0.0.0 klclick2.com
0.0.0.0 trk.klclick2.com
0.0.0.0 sanalytics.ksta.de
0.0.0.0 track.ksta.de
0.0.0.0 kuponacdn.de
0.0.0.0 retrack-kupona.kuponacdn.de
0.0.0.0 www.kuponacdn.de
0.0.0.0 eic.cdpbeacon.lgtvcommon.com
0.0.0.0 metrics.lidl.com
0.0.0.0 mastersincash.com
0.0.0.0 ptcdn.mastersincash.com
0.0.0.0 www.mastersincash.com
0.0.0.0 mc-scanner.com
0.0.0.0 www.mc-scanner.com
0.0.0.0 discovery.meethue.com
0.0.0.0 mjrhficjcbf.com
0.0.0.0 www.mjrhficjcbf.com
0.0.0.0 cdn.mndtrk.com
0.0.0.0 ivwtracking.mopo.de
0.0.0.0 muwootch.com
0.0.0.0 mycleverpush.com
0.0.0.0 www.mycleverpush.com
0.0.0.0 mysexymatches.com
0.0.0.0 www.mysexymatches.com
0.0.0.0 nessainy.net
0.0.0.0 insights-collector.newrelic.com
0.0.0.0 metric-api.newrelic.com
